"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 02 10:20:42 UTC 2024","Wed Oct 02 10:20:42 UTC 2024","194","Test suite","Tests","AuthorTests","AuthorTests","verify_that_possible_to_create_a_new_author","verify_that_possible_to_create_a_new_author",""
"passed","Wed Oct 02 10:20:40 UTC 2024","Wed Oct 02 10:20:40 UTC 2024","218","Test suite","Tests","BookTests","BookTests","verify_that_date_field_has_correct_format","verify_that_date_field_has_correct_format",""
"passed","Wed Oct 02 10:20:42 UTC 2024","Wed Oct 02 10:20:42 UTC 2024","91","Test suite","Tests","AuthorTests","AuthorTests","verify_that_get_author_by_id_endpoint_wrong_ids","verify_that_get_author_by_id_endpoint_wrong_ids",""
"failed","Wed Oct 02 10:20:42 UTC 2024","Wed Oct 02 10:20:43 UTC 2024","278","Test suite","Tests","AuthorTests","AuthorTests","verify_that_possible_to_update_a_new_author","verify_that_possible_to_update_a_new_author",""
"failed","Wed Oct 02 10:20:42 UTC 2024","Wed Oct 02 10:20:42 UTC 2024","94","Test suite","Tests","AuthorTests","AuthorTests","verify_http_bad_request_for_post_endpoint","verify_http_bad_request_for_post_endpoint",""
"failed","Wed Oct 02 10:20:41 UTC 2024","Wed Oct 02 10:20:41 UTC 2024","203","Test suite","Tests","BookTests","BookTests","verify_that_possible_to_update_a_new_book","verify_that_possible_to_update_a_new_book",""
"passed","Wed Oct 02 10:20:42 UTC 2024","Wed Oct 02 10:20:42 UTC 2024","92","Test suite","Tests","AuthorTests","AuthorTests","verify_that_get_author_by_id_endpoint_wrong_ids","verify_that_get_author_by_id_endpoint_wrong_ids",""
"failed","Wed Oct 02 10:20:41 UTC 2024","Wed Oct 02 10:20:41 UTC 2024","207","Test suite","Tests","BookTests","BookTests","verify_that_possible_to_create_a_new_book","verify_that_possible_to_create_a_new_book",""
"passed","Wed Oct 02 10:20:37 UTC 2024","Wed Oct 02 10:20:39 UTC 2024","1467","Test suite","Tests","BookTests","BookTests","verify_http_bad_request_for_delete_endpoint","verify_http_bad_request_for_delete_endpoint",""
"failed","Wed Oct 02 10:20:41 UTC 2024","Wed Oct 02 10:20:42 UTC 2024","95","Test suite","Tests","AuthorTests","AuthorTests","verify_http_bad_request_for_post_endpoint","verify_http_bad_request_for_post_endpoint",""
